CSC 131,Recreational Graphics,Thaddeus Pawlicki,TWR 1:00-2:00,"Wegmans Hall 2101, https://rochester.zoom.us/j/98833017650"
CSC 172,Data Structures & Algorithms,Thaddeus Pawlicki,TWR 1:00-2:00,"Wegmans Hall 2101, https://rochester.zoom.us/j/98833017650"
CSC 161,Introduction to Programming,Andrew Read-McFarland,"W 2:30 PM-3:30 PM, F 1:30 PM-3:30 PM",Wegmans Hall 2105
CSC 170,Introduction to Web Development,Andrew Read-McFarland,"W 2:30 PM-3:30 PM, F 1:30 PM-3:30 PM",Wegmans Hall 2105
CSC 214,Mobile App Development,Arthur Roolfs,NA,NA
CSC 227,Intro to Dip using Python,Marvin Doyley,Appt,m.doyley@rochester.edu
CSC 229,Computer Models of Perception & Cognition,Robert Jacobs,Appt,rjacobs@ur.rochester.edu
CSC 241,Intro to Computational Neuroscience,Ralf Haefner,Appt,rhaefne2@ur.rochester.edu
CSC 171,Introduction to Computer Science,Adam Purtee,"MW 2:00-3:00, R 3:30-4:30",Wegmans Hall 2109
CSC 246,Machine Learning,Adam Purtee,"MW 2:00-3:00, R 3:30-4:30",Wegmans Hall 2109
CSC 257,Computer Networks,Adam Purtee,"MW 2:00-3:00, R 3:30-4:30",Wegmans Hall 2109
CSC 173,Computation & Formal Systems,George Ferguson,"T 1:00-2:00, W 3:30-4:30",Wegmans Hall 2103
CSC 242,Introduction to Artificial Intelligence,George Ferguson,"T 1:00-2:00, W 3:30-4:30",Wegmans Hall 2103
CSC 212,Human-Computer Interaction,Ehsan Hoque,MW 12:00-1:00,Wegmans Hall 3013
CSC 216,AR/VR Interaction Design,Zhen Bai,T 5:00-6:00,Wegmans Hall 3007
CSC 244,Knowledge Representation & Reasoning in AI,Lenhart Schubert,TR 5:00-6:00,Wegmans Hall 3003
CSC 248,Statistical Speech & Language Processing,Daniel Gildea,MW 2:00-3:00,Wegmans Hall 2215
CSC 252,Computer Organization,Sreepathi Pai,MW 4:40-5:40,Wegmans Hall 3409
CSC 253,Collaborative Programming and Software Design,Chen Ding,F 11:00-12:00,Wegmans Hall 3407
CSC 254,Programming Language Design & Implementation,Michael Scott,Appt,miscott@acm.org
CSC 262,Computational Introduction to Statistics ,Aruni Jayathilaka,Appt,aruni.jayathilaka@rochester.edu
CSC 256,Operating Systems,John Criswell,W 3:00-4:00,Computer Studies Building 717
CSC 264,Computer Audition,Zhiyao Duan,W 2:30-3:30,Computer Studies Building 720
CSC 261,Database Systems,Eustrat Zhupa,"M 1:30-2:30, F 6:00-7:00",Wegmans Hall 2107
CSC 281,Introduction to Cryptography,Eustrat Zhupa,"M 1:30-2:30, F 6:00-7:00",Wegmans Hall 2107
CSC 282,Data & Analysis of Efficient Algorithms,Daniel Stefankovic,TR 12:30PM-1:45PM,Wegmans Hall 2315
CSC 284,Advanced Algorithms,Daniel Stefankovic,TR 12:30PM - 1:45PM,Wegmans Hall 2315
CSC 280,Computer Models & Limitations,Kaave Hosseini,W 4:50-6:00,Wegmans Hall 2507
CSC 288,Analytic Methods in Computer Science,Kaave Hosseini,W 4:50-6:00,Wegmans Hall 2507
CSC 292,Mobile Visual Computing,Yuhao Zhu,Appt,yzhu@rochester.edu
CSC 298,Deep Learning,Chenliang Xu,T 11:00-12:00,Wegmans Hall 3003
CSC 273W,Writing in Computer Science,Joseph Loporcaro,NA,NA
CSC 299W,Social Implications of Computing,Joseph Loporcaro,NA,NA
CSC 240,Data Mining,Cantay Caliskan,NA,NA
CSC 227,Intro to Dip in Python,Marvin Doyley,NA,NA
